running ring w/ n=10 and ppn=12

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4096                  135.97
8192                  135.44
16384                 154.05
32768                 179.52
65536                 213.70
131072                483.14
262144               1008.72
524288               2332.72
1048576              4928.77
 
running circ_rs_ag w/ n=5 and ppn=48

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      44.29
8                      45.27
16                     46.68
32                     48.46
64                     50.02
128                    52.42
256                    58.88
512                    62.04
1024                   79.39
2048                  100.11
4096                   97.09
8192                  122.53
16384                 127.03
32768                 165.31
65536                 185.88
131072                237.47
262144                334.65
524288                537.72
1048576               944.11
 
running ring w/ n=5 and ppn=96

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                    1348.71
8                    1398.93
16                   1388.44
32                   1397.51
64                   1403.72
128                  1426.42
256                  1509.85
512                  1660.06
1024                 1885.98
2048                 1885.03
4096                 2062.15
8192                 2219.02
16384                2315.99
